Player name,position,Games,At-bat,Runs,Hits,Double (2B),third baseman,home run,run batted in,a walk,Strikeouts,stolen base ,Caught stealing,AVG,On-base Percentage,Slugging Percentage,On-base Plus Slugging
S Casey,1B,1405,5066,690,1531,322,12,130,735,477,577,18,8,0.302,0.367,0.447,0.814
M Epstein,1B,907,2854,362,695,93,16,130,380,448,645,7,17,0.244,0.358,0.424,0.782
C Guillen,SS,1305,4673,733,1331,266,51,124,660,510,804,74,47,0.285,0.355,0.443,0.798
S Drew,SS,1268,4403,565,1109,258,63,123,524,435,926,41,19,0.252,0.318,0.423,0.741
O Cabrera,SS,1985,7562,985,2055,459,32,123,854,514,745,216,57,0.272,0.317,0.39,0.707
D Bell,3B,1403,4826,587,1239,267,18,123,589,428,687,19,20,0.257,0.32,0.396,0.716
E Valentine,OF,894,3166,380,881,169,15,123,474,180,462,59,37,0.278,0.315,0.458,0.773
J Randa,3B,1522,5428,697,1543,327,36,123,739,432,738,42,26,0.284,0.339,0.426,0.765
K Phelps,DH,761,1854,308,443,64,7,123,313,390,449,10,7,0.239,0.374,0.48,0.854
W Upshaw,1B,1264,4203,596,1103,199,45,123,528,452,642,88,59,0.262,0.335,0.419,0.754
B Miller,1B,1030,3083,391,730,129,30,123,401,341,864,43,18,0.237,0.314,0.418,0.732
K Henderson,CF,1444,4553,595,1168,216,26,122,576,589,763,86,42,0.257,0.343,0.396,0.739
B Wilkerson,LF,972,3187,500,788,193,28,122,399,492,947,53,43,0.247,0.35,0.44,0.79
D Lock,CF,921,2695,359,642,92,12,122,373,373,776,30,29,0.238,0.331,0.417,0.748
J Ferguson,C,1013,3001,407,719,121,11,122,445,562,607,22,12,0.24,0.358,0.409,0.767
M Cordova,LF,952,3419,480,938,192,18,122,540,329,730,57,36,0.274,0.344,0.448,0.792
W Cordero,LF,1247,4311,587,1178,261,19,122,566,325,775,49,19,0.273,0.33,0.428,0.758
N Esasky,1B,810,2703,336,677,120,21,122,427,314,712,18,14,0.25,0.329,0.446,0.775
G Jones,1B,911,2924,347,734,178,12,122,400,265,680,28,10,0.251,0.312,0.445,0.757
H Stovey,1B,1486,6138,1492,1771,347,174,122,908,663,343,509,--,0.289,0.361,0.461,0.822
J Blauser,SS,1407,4522,691,1187,217,33,122,513,569,937,65,41,0.262,0.354,0.406,0.76
J Hall,CF,963,2848,387,724,100,24,121,391,287,529,38,18,0.254,0.321,0.434,0.755
A Kearns,RF,1125,3606,522,914,187,13,121,494,475,898,33,21,0.253,0.351,0.413,0.764
D Ford,RF,1153,4163,598,1123,214,38,121,566,303,722,61,37,0.27,0.324,0.427,0.751
G Roenicke,LF,1064,2708,367,670,135,4,121,410,406,428,16,20,0.247,0.351,0.434,0.785
K Moreland,RF,1306,4581,511,1279,214,14,121,674,405,515,28,33,0.279,0.335,0.411,0.746
J Gyorko,2B,847,2693,317,659,111,5,121,370,248,670,14,6,0.245,0.31,0.424,0.734
J Lowrie,SS,1307,4615,590,1185,292,17,121,594,503,895,8,3,0.257,0.33,0.406,0.736
W Gross,3B,1106,3125,373,727,126,9,121,396,482,496,24,22,0.233,0.337,0.395,0.732
R Acu?a,RF,517,1996,396,553,102,7,121,297,263,584,108,32,0.277,0.37,0.517,0.887
M McManus,2B,1831,6660,1008,1926,401,88,120,996,675,558,126,91,0.289,0.357,0.43,0.787
B Jacoby,3B,1311,4520,535,1220,204,24,120,545,439,764,16,25,0.27,0.334,0.405,0.739
S Spiezio,1B,1274,3899,517,996,225,27,119,549,412,594,33,23,0.255,0.329,0.419,0.748
G Cravath,RF,1226,3951,575,1134,232,83,119,719,561,514,89,9,0.287,0.38,0.478,0.858
R Greer,LF,1027,3829,643,1166,258,25,119,614,519,555,31,15,0.305,0.387,0.478,0.865
R Thompson,2B,1304,4612,671,1187,238,39,119,458,439,987,103,62,0.257,0.329,0.403,0.732
F Hayes,C,1364,4493,545,1164,213,32,119,628,564,627,30,20,0.259,0.343,0.4,0.743
M Cochrane,C,1482,5169,1041,1652,333,64,119,832,857,217,64,46,0.32,0.419,0.478,0.897
Z Bonura,1B,917,3582,600,1099,232,29,119,704,404,180,19,7,0.307,0.38,0.487,0.867
J Payton,CF,1259,4154,561,1157,193,30,119,522,255,503,47,32,0.279,0.323,0.425,0.748
E Kranepool,1B,1853,5436,536,1418,225,25,118,614,454,581,15,27,0.261,0.316,0.377,0.693
B Grieve,RF,976,3215,471,864,192,5,118,492,466,784,24,5,0.269,0.367,0.442,0.809
B Gilkey,LF,1239,4061,606,1115,244,24,118,546,466,708,115,71,0.275,0.352,0.434,0.786
C Patterson,CF,1230,4171,571,1050,197,34,118,431,206,933,218,64,0.252,0.29,0.4,0.69
L Cardenas,SS,1941,6707,662,1725,285,49,118,689,522,1135,39,48,0.257,0.311,0.367,0.678
M Adams,1B,856,2421,297,624,130,6,118,399,165,643,4,4,0.258,0.306,0.463,0.769
T Walker,OF,1428,5067,696,1423,244,71,118,679,416,504,129,47,0.281,0.339,0.427,0.766
K Bass,RF,1571,4838,609,1308,248,40,118,611,357,667,151,73,0.27,0.323,0.411,0.734
J Ryan,OF,234,8164,1642,2512,451,157,118,1093,803,361,418,--,0.308,0.375,0.444,0.819
M Easler,LF,1151,3677,465,1078,189,25,118,522,321,696,20,25,0.293,0.349,0.454,0.803
W Boggs,3B,2440,9180,1513,3010,578,61,118,1014,1412,745,24,35,0.328,0.415,0.443,0.858
D Pasqua,LF,904,2620,341,638,129,15,117,390,335,642,7,10,0.244,0.33,0.438,0.768
G Maddox,CF,1749,6331,777,1802,337,62,117,754,323,781,248,92,0.285,0.32,0.413,0.733
J King,RF,1125,2918,374,699,112,19,117,401,363,401,23,8,0.24,0.326,0.411,0.737
C Laabs,LF,950,3102,467,813,151,44,117,509,389,595,32,22,0.262,0.346,0.452,0.798
T Speaker,CF,2792,10195,1881,3515,792,222,117,1529,1381,220,432,129,0.345,0.428,0.5,0.928
I Suzuki,RF,2653,9934,1420,3089,362,96,117,780,647,1080,509,117,0.311,0.355,0.402,0.757
W Contreras,C,736,2489,356,640,134,10,117,365,279,687,22,17,0.257,0.349,0.46,0.809
K Gruber,3B,938,3159,431,818,148,24,117,443,197,504,80,33,0.259,0.307,0.432,0.739
T Cobb,CF,3034,11429,2246,4191,723,297,117,1938,1249,357,892,178,0.367,0.433,0.513,0.946
M Stanley,OF,1517,5022,641,1243,201,48,117,500,371,564,44,23,0.248,0.298,0.377,0.675
R Reichardt,LF,997,3307,391,864,109,24,116,445,263,672,40,41,0.261,0.326,0.414,0.74
J Lowenstein,LF,1368,3476,510,881,137,18,116,441,446,596,128,78,0.253,0.337,0.403,0.74
B Miller,RF,1821,6212,946,1934,389,96,116,990,383,340,127,82,0.311,0.359,0.461,0.82
S Lopata,C,853,2601,375,661,116,25,116,397,393,497,18,11,0.254,0.351,0.452,0.803
C Sabo,3B,911,3354,494,898,214,17,116,426,274,460,120,49,0.268,0.326,0.445,0.771
T Lee,1B,1099,3740,476,958,191,16,115,488,457,704,59,20,0.256,0.337,0.408,0.745
A Ramirez,SS,1371,5134,601,1387,249,17,115,590,263,650,143,63,0.27,0.307,0.392,0.699
C Monroe,LF,814,2691,368,678,146,9,115,433,188,588,19,18,0.252,0.301,0.441,0.742
S Stewart,LF,1386,5574,853,1653,315,41,115,580,504,684,196,71,0.297,0.36,0.43,0.79
B Robertson,1B,829,2385,283,578,93,10,115,368,317,546,7,9,0.242,0.331,0.434,0.765
G Freese,3B,1115,3446,429,877,161,28,115,432,243,535,51,26,0.254,0.305,0.418,0.723
D Hurst,1B,905,3275,510,976,190,28,115,610,391,210,41,--,0.298,0.375,0.478,0.853
M Thames,LF,640,1827,256,450,83,4,115,301,159,510,3,9,0.246,0.309,0.485,0.794
J Lynch,LF,1184,2879,364,798,123,34,115,470,224,416,12,17,0.277,0.329,0.463,0.792
T Pham,CF,880,2966,505,771,137,18,115,366,408,817,98,29,0.26,0.355,0.435,0.79
L Valbuena,3B,1011,3148,377,710,169,9,114,367,374,788,11,16,0.226,0.31,0.394,0.704
R Belliard,2B,1484,5045,685,1377,328,24,114,601,488,797,43,28,0.273,0.338,0.415,0.753
W Lockman,1B,1666,5940,836,1658,222,49,114,563,552,383,43,27,0.279,0.342,0.391,0.733
T Shaw,3B,733,2374,310,563,127,3,114,366,275,650,20,4,0.237,0.319,0.437,0.756
B Fullmer,DH,807,2789,395,778,203,16,114,442,216,373,32,21,0.279,0.336,0.486,0.822
D Freese,3B,1184,3758,481,1041,197,7,113,535,370,974,8,11,0.277,0.351,0.423,0.774
P Waner,RF,2550,9459,1627,3152,605,191,113,1309,1091,376,104,0,0.333,0.404,0.473,0.877
T Munson,C,1423,5344,696,1558,229,32,113,701,438,571,48,50,0.292,0.346,0.41,0.756
L O'Doul,LF,970,3264,624,1140,175,41,113,542,333,122,36,0,0.349,0.413,0.532,0.945
R Furcal,SS,1614,6477,1063,1817,311,69,113,587,643,910,314,94,0.281,0.346,0.402,0.748
T Kennedy,C,1491,4979,474,1313,244,12,113,628,365,855,6,15,0.264,0.314,0.386,0.7
C Hinton,LF,1354,3968,518,1048,152,47,113,443,416,685,130,50,0.264,0.332,0.412,0.744
F Tatis,3B,949,3051,427,807,174,14,113,448,321,709,50,21,0.265,0.344,0.442,0.786
G Walker,1B,855,2864,368,746,164,19,113,444,268,520,19,12,0.26,0.326,0.449,0.775
J Cirillo,3B,1617,5396,800,1598,343,21,112,727,563,694,63,37,0.296,0.366,0.43,0.796
J Morrison,3B,1089,3375,371,876,170,16,112,435,213,521,50,37,0.26,0.305,0.419,0.724
D Hollins,3B,983,3346,578,870,166,17,112,482,464,687,47,27,0.26,0.358,0.42,0.778
G McDougald,2B,1336,4676,697,1291,187,51,112,576,559,623,45,44,0.276,0.356,0.41,0.766
M Haniger,RF,564,2164,344,565,109,10,112,323,217,583,18,6,0.261,0.335,0.476,0.811
S Alomar,C,1377,4530,520,1236,249,10,112,588,212,499,25,24,0.273,0.309,0.406,0.715
C Speier,SS,2260,7156,770,1759,302,50,112,720,847,988,42,54,0.246,0.327,0.349,0.676
J Brandt,CF,1221,3895,540,1020,175,37,112,485,351,574,45,30,0.262,0.323,0.412,0.735
C Blefary,LF,974,2947,394,699,104,20,112,382,456,444,24,24,0.237,0.342,0.4,0.742
M Alvis,3B,1014,3629,421,895,142,22,111,373,262,662,43,46,0.247,0.302,0.39,0.692
G Gagne,SS,1798,5673,712,1440,296,50,111,604,367,1121,108,96,0.254,0.302,0.382,0.684
R Cullenbine,RF,1181,3879,627,1072,209,32,110,599,853,399,26,20,0.276,0.408,0.432,0.84
D Peralta,LF,1011,3568,444,1004,202,47,110,487,295,766,33,16,0.281,0.339,0.457,0.796
M Ensberg,3B,731,2204,340,579,102,10,110,347,332,436,22,19,0.263,0.362,0.468,0.83
R Winn,CF,1717,6186,863,1759,367,59,110,662,526,1010,215,84,0.284,0.343,0.416,0.759
W Aikens,1B,774,2492,301,675,125,2,110,415,319,444,3,6,0.271,0.354,0.455,0.809
G Brock,1B,1013,3202,420,794,141,6,110,462,434,469,41,18,0.248,0.338,0.399,0.737
J Saltalamacchia,C,895,2852,377,662,161,6,110,381,304,984,5,7,0.232,0.306,0.408,0.714
H Manush,LF,2009,7654,1288,2524,491,160,110,1183,506,345,114,58,0.33,0.377,0.479,0.856
J Hammonds,RF,957,3032,475,824,172,17,110,423,292,596,67,30,0.272,0.338,0.449,0.787
R Clayton,SS,2108,7379,935,1904,363,55,110,723,565,1415,231,100,0.258,0.312,0.367,0.679
D Duncan,C,929,2885,274,617,79,4,109,341,252,677,5,14,0.214,0.279,0.357,0.636
F Galvis,SS,1102,3921,436,966,171,27,109,426,241,853,57,21,0.246,0.292,0.387,0.679
E Byrnes,LF,963,3202,482,827,191,30,109,396,253,538,129,23,0.258,0.32,0.439,0.759
D Young,LF,1118,4108,473,1162,218,11,109,566,179,784,36,21,0.283,0.316,0.421,0.737
J Aguilar,1B,762,2254,280,574,105,2,109,393,228,595,1,1,0.255,0.324,0.448,0.772
P Garner,2B,1860,6136,780,1594,299,82,109,738,564,842,225,105,0.26,0.323,0.389,0.712
S Hillenbrand,3B,943,3570,463,1014,202,15,108,490,140,464,16,12,0.284,0.321,0.44,0.761
A Cowens,RF,1584,5534,704,1494,276,68,108,717,389,659,120,75,0.27,0.319,0.403,0.722
J Bradley,CF,1140,3633,505,825,199,27,108,443,357,1037,69,18,0.227,0.306,0.386,0.692
G Matthews,CF,1281,4103,612,1056,225,29,108,484,454,849,95,36,0.257,0.332,0.405,0.737
J Lucroy,C,1210,4140,483,1134,217,24,108,548,369,662,30,9,0.274,0.335,0.416,0.751
J Loney,1B,1443,5023,528,1425,267,21,108,669,397,652,38,21,0.284,0.336,0.41,0.746
J Howell,3B,941,2639,345,632,129,16,108,337,300,626,14,15,0.239,0.318,0.423,0.741
S Victorino,CF,1299,4630,731,1274,231,70,108,489,381,626,231,46,0.275,0.34,0.425,0.765
C Martinez,LF,1003,2906,350,713,134,7,108,424,404,528,10,16,0.245,0.337,0.408,0.745
G Selkirk,RF,846,2790,503,810,131,41,108,576,486,319,49,32,0.29,0.4,0.483,0.883
R Northey,RF,1084,3172,385,874,172,28,108,513,361,297,7,0,0.276,0.352,0.45,0.802
J Dykes,3B,2283,8046,1108,2256,453,90,108,1071,958,850,70,55,0.28,0.365,0.399,0.764
G Soto,C,797,2522,308,619,146,4,108,361,311,673,3,5,0.245,0.33,0.435,0.765
F Whitfield,1B,817,2284,242,578,93,8,108,356,139,371,7,16,0.253,0.298,0.443,0.741
D Litwhiler,LF,1057,3494,428,982,162,32,107,451,299,377,11,0,0.281,0.342,0.438,0.78
T Pe?a,C,1988,6489,667,1687,298,27,107,708,455,846,80,63,0.26,0.309,0.364,0.673
D LeMahieu,2B,1427,5314,810,1578,249,36,107,582,483,858,91,46,0.297,0.356,0.418,0.774
T Walker,2B,1288,4554,647,1316,284,30,107,545,421,571,66,37,0.289,0.348,0.435,0.783
M Gonzalez,SS,1139,3526,420,888,183,8,107,415,261,812,44,28,0.252,0.31,0.399,0.709
L Herndon,LF,1537,4877,605,1334,186,76,107,550,353,793,92,56,0.274,0.322,0.409,0.731
J Segura,3B,1331,5206,712,1480,232,45,107,492,302,782,205,71,0.284,0.33,0.408,0.738
M Tiernan,OF,1476,5906,1313,1835,256,162,106,851,747,318,428,--,0.311,0.392,0.463,0.855
S Hairston,LF,923,2431,300,589,133,17,106,313,175,577,36,11,0.242,0.296,0.442,0.738
D Ross,C,883,2280,254,521,116,5,106,314,287,735,3,5,0.229,0.316,0.423,0.739
R Repulski,LF,928,3088,407,830,153,23,106,416,207,433,25,29,0.269,0.319,0.436,0.755
B Campbell,RF,1360,4762,759,1382,295,87,106,766,548,584,53,50,0.29,0.367,0.455,0.822
F Reyes,OF,531,1828,232,457,73,4,106,278,170,616,6,2,0.25,0.313,0.468,0.781
H Duffy,CF,113,7042,1552,2292,325,119,106,1302,662,211,574,--,0.325,0.386,0.449,0.835
L Thomas,OF,1027,3324,405,847,111,22,106,428,332,397,25,11,0.255,0.327,0.397,0.724
R Hansen,SS,1384,4311,446,1007,156,17,106,501,551,643,9,14,0.234,0.32,0.351,0.671
W Kurowski,3B,916,3229,518,925,162,32,106,529,369,332,19,--,0.286,0.366,0.455,0.821
D Brouthers,1B,2,6711,1523,2296,460,205,106,1296,840,238,256,--,0.342,0.423,0.519,0.942
R Brogna,1B,848,2958,379,795,176,13,106,458,227,655,32,16,0.269,0.32,0.445,0.765
T Plouffe,3B,830,2933,364,710,155,10,106,379,246,676,12,11,0.242,0.304,0.41,0.714
S Hatteberg,1B,1314,4226,538,1153,249,7,106,527,562,503,3,8,0.273,0.361,0.41,0.771
I Meusel,LF,1290,4900,701,1521,250,93,106,819,269,199,113,53,0.31,0.348,0.464,0.812
F Bolling,2B,1540,5562,692,1415,221,40,106,556,462,558,40,38,0.254,0.313,0.366,0.679
B Cerv,LF,829,2261,320,624,96,26,105,374,212,392,12,10,0.276,0.34,0.481,0.821
M Devereaux,CF,1086,3740,491,949,170,33,105,480,296,635,86,56,0.254,0.308,0.401,0.709
M Ellis,2B,1435,5117,690,1343,257,25,105,550,438,801,82,29,0.262,0.327,0.384,0.711
D Spencer,SS,1098,3689,457,901,145,20,105,428,449,516,13,7,0.244,0.327,0.38,0.707
D Nilsson,C,837,2779,389,789,157,10,105,470,320,424,15,18,0.284,0.356,0.461,0.817
G Grantham,2B,1445,4989,912,1508,292,93,105,712,717,526,132,53,0.302,0.392,0.461,0.853
D Walker,RF,1906,6740,1037,2064,376,96,105,1023,817,325,59,10,0.306,0.383,0.437,0.82
A Avila,C,1052,3060,352,714,155,9,105,397,528,1068,8,8,0.233,0.348,0.393,0.741
J Cust,DH,670,2107,311,510,96,2,105,323,444,819,6,6,0.242,0.374,0.439,0.813
F Frisch,2B,2311,9112,1532,2880,466,138,105,1244,728,272,419,74,0.316,0.369,0.432,0.801
M Morse,LF,832,2569,296,705,139,8,105,355,178,668,6,6,0.274,0.331,0.457,0.788
M Whiten,RF,940,3104,465,804,129,20,105,423,378,712,78,40,0.259,0.341,0.415,0.756
B Boone,C,2264,7245,679,1838,303,26,105,826,663,608,38,50,0.254,0.315,0.346,0.661
I Happ,LF,681,2135,308,533,116,10,105,309,278,708,37,17,0.25,0.34,0.461,0.801
J Ellsbury,CF,1235,4846,749,1376,241,47,104,512,399,737,343,71,0.284,0.342,0.417,0.759
X Nady,RF,961,2969,365,797,159,7,104,410,189,626,19,8,0.268,0.323,0.432,0.755
J Piersall,CF,1734,5890,811,1604,256,52,104,591,524,583,115,57,0.272,0.332,0.386,0.718
J Roseboro,C,1585,4847,512,1206,190,44,104,548,547,677,67,56,0.249,0.326,0.371,0.697
V Guerrero Jr.,1B,507,1937,300,550,104,5,104,313,213,356,13,5,0.284,0.358,0.504,0.862
I Calderon,RF,924,3312,470,901,200,25,104,444,306,556,97,49,0.272,0.333,0.442,0.775
F Stubbs,1B,945,2591,323,602,109,12,104,348,260,626,74,28,0.232,0.303,0.404,0.707
D Murphy,LF,1110,3467,440,950,203,16,104,472,316,575,54,28,0.274,0.333,0.432,0.765
E Battey,C,1141,3586,393,969,150,17,104,449,421,470,13,12,0.27,0.349,0.409,0.758
K Daniels,LF,727,2338,391,666,125,8,104,360,365,493,87,26,0.285,0.382,0.479,0.861
P Polanco,2B,1927,7214,1009,2142,348,32,104,723,429,538,81,30,0.297,0.343,0.397,0.74
J Cantu,1B,847,3128,367,847,203,5,104,476,189,559,11,4,0.271,0.316,0.439,0.755
J Tabor,3B,1005,3788,473,1021,191,29,104,598,286,377,69,54,0.27,0.322,0.418,0.74
G Hamner,SS,1531,5839,711,1529,272,62,104,708,351,432,35,14,0.262,0.303,0.383,0.686
R Doumit,C,980,3093,350,818,191,7,104,413,232,621,12,6,0.264,0.324,0.432,0.756
O Merced,RF,1391,3998,564,1108,229,28,103,585,487,661,57,29,0.277,0.355,0.426,0.781
F Lindstrom,3B,1439,5611,895,1747,301,81,103,779,334,276,84,10,0.311,0.351,0.449,0.8
B Skinner,LF,1381,4318,642,1198,197,58,103,531,485,646,67,36,0.277,0.351,0.421,0.772
T Gonzalez,CF,1559,5195,690,1485,238,57,103,615,467,706,79,61,0.286,0.35,0.413,0.763
D Gernert,1B,835,2493,357,632,104,8,103,402,363,462,10,11,0.254,0.351,0.426,0.777
B McRae,CF,1354,5114,734,1336,264,58,103,532,488,824,196,86,0.261,0.331,0.396,0.727
R Jackson,3B,955,3203,412,835,115,44,103,415,281,382,36,16,0.261,0.32,0.421,0.741
M Canha,LF,790,2619,420,650,132,13,103,357,306,650,32,10,0.248,0.349,0.426,0.775
J Johnstone,RF,1748,4703,578,1254,215,38,102,531,429,632,50,54,0.267,0.329,0.394,0.723
S Yeager,C,1268,3584,357,816,118,16,102,410,342,726,14,18,0.228,0.298,0.355,0.653
G Sisler,1B,2054,8267,1282,2810,425,164,102,1175,472,327,375,127,0.34,0.379,0.468,0.847
L Piniella,LF,1747,5867,651,1705,305,41,102,766,368,541,32,41,0.291,0.333,0.409,0.742
O Brown,RF,1221,3642,404,964,144,11,102,454,314,616,30,27,0.265,0.324,0.394,0.718
P DeJong,SS,617,2154,300,501,107,4,102,306,192,628,19,9,0.233,0.306,0.428,0.734
J Oliver,C,1076,3367,320,831,174,3,102,476,248,637,13,13,0.247,0.299,0.391,0.69
E Soderholm,3B,894,2894,402,764,120,14,102,383,295,359,18,21,0.264,0.335,0.421,0.756
D Swanson,SS,830,3055,435,782,162,13,102,413,291,820,58,23,0.256,0.322,0.418,0.74
D Menke,SS,1598,5071,605,1270,225,40,101,606,698,853,34,54,0.25,0.343,0.37,0.713
D Dellucci,RF,1099,2873,431,736,141,35,101,398,322,714,41,25,0.256,0.338,0.435,0.773
W Moryn,RF,785,2506,324,667,116,16,101,354,251,393,7,7,0.266,0.335,0.446,0.781
G Berroa,DH,779,2506,379,692,113,9,101,382,276,510,19,16,0.276,0.349,0.449,0.798
E Delahanty,LF,304,7505,1599,2596,522,185,101,1464,741,244,455,--,0.346,0.411,0.505,0.916
G Altman,RF,991,3091,409,832,132,34,101,403,268,572,52,22,0.269,0.329,0.432,0.761
D Concepcion,SS,2488,8723,993,2326,389,48,101,950,736,1186,321,109,0.267,0.322,0.357,0.679
H Wagner,SS,2302,10430,1736,3430,640,252,101,1732,963,327,722,15,0.329,0.392,0.466,0.858
H Leiber,CF,813,2805,410,808,137,24,101,518,274,319,5,--,0.288,0.356,0.462,0.818
J Villar,2B,1032,3530,482,899,161,19,101,343,344,1045,239,66,0.255,0.322,0.397,0.719
C Curtis,CF,1204,4017,648,1061,195,16,101,461,510,676,212,98,0.264,0.349,0.396,0.745
N McLouth,CF,1045,3257,521,803,191,19,101,333,366,639,133,24,0.247,0.332,0.41,0.742
A Galan,LF,1742,5937,1004,1706,336,74,100,830,979,393,123,0,0.287,0.39,0.419,0.809
D Sims,C,843,2422,263,580,80,6,100,310,338,483,6,16,0.239,0.34,0.401,0.741
M Prado,3B,1458,5373,664,1542,316,27,100,609,385,676,40,28,0.287,0.335,0.412,0.747
M DeRosa,3B,1241,3633,538,975,196,12,100,494,358,707,23,18,0.268,0.34,0.412,0.752
R Velarde,2B,1273,4244,633,1171,214,23,100,445,463,853,78,37,0.276,0.352,0.408,0.76
M Jacobs,1B,569,1949,248,493,116,6,100,312,170,492,5,2,0.253,0.313,0.473,0.786
A Hicks,LF,871,2810,419,648,111,14,100,351,413,702,65,26,0.231,0.33,0.387,0.717
J Kruk,1B,1200,3897,582,1170,199,34,100,592,649,701,58,31,0.3,0.397,0.446,0.843
Y Alonso,1B,1072,3362,391,872,181,2,100,426,366,648,22,8,0.259,0.332,0.404,0.736
B Bochte,1B,1538,5233,643,1478,250,21,100,658,653,662,43,41,0.282,0.36,0.396,0.756
G Blum,3B,1389,3966,446,990,206,15,99,479,332,667,19,19,0.25,0.31,0.384,0.694
C Wilson,1B,698,2010,303,527,100,14,99,292,198,643,14,7,0.262,0.353,0.474,0.827
G Atkins,3B,817,2928,399,835,169,7,99,488,291,449,8,4,0.285,0.35,0.449,0.799
D DeJesus,CF,1472,5220,740,1434,288,65,99,573,510,838,66,62,0.275,0.349,0.412,0.761
J Grubb,CF,1424,4154,553,1153,207,29,99,475,566,558,27,33,0.278,0.366,0.413,0.779
M Irvin,LF,764,2499,366,731,97,31,99,443,351,220,28,7,0.293,0.383,0.475,0.858
C Paquette,3B,814,2591,304,620,128,10,99,376,120,620,27,13,0.239,0.274,0.411,0.685
Y Alvarez,LF,371,1339,251,398,91,3,99,288,181,350,2,1,0.297,0.385,0.591,0.976
G Torres,2B,579,2108,293,558,100,2,99,312,203,513,38,15,0.265,0.331,0.455,0.786
G Wilson,RF,1201,4151,451,1098,209,26,98,521,253,672,27,25,0.265,0.306,0.398,0.704
F Crosetti,SS,1683,6277,1006,1541,260,65,98,649,792,799,113,62,0.245,0.341,0.354,0.695
O Virgil,C,739,2258,258,549,84,6,98,307,248,453,4,5,0.243,0.324,0.416,0.74
C Knoblauch,2B,1632,6366,1132,1839,322,64,98,615,804,730,407,117,0.289,0.378,0.406,0.784
O Albies,2B,627,2502,401,678,153,25,98,347,180,469,63,18,0.271,0.322,0.47,0.792
T Hollandsworth,LF,1118,3191,451,871,192,22,98,401,262,701,75,43,0.273,0.328,0.439,0.767
H Evers,LF,1142,3801,556,1055,187,41,98,565,415,420,45,36,0.278,0.353,0.426,0.779
L Smith,LF,1613,5170,909,1488,273,58,98,533,623,849,370,140,0.288,0.371,0.42,0.791
M Barrett,C,1054,3512,398,925,220,21,98,424,279,480,11,17,0.263,0.32,0.422,0.742
G Coleman,1B,773,2384,282,650,102,11,98,387,177,333,9,8,0.273,0.324,0.448,0.772
W Castillo,C,726,2462,251,626,126,1,98,339,183,691,5,0,0.254,0.313,0.426,0.739
G Colbrunn,1B,992,2769,337,801,155,12,98,422,170,444,29,21,0.289,0.338,0.46,0.798
J Polanco,2B,752,2854,405,772,163,20,98,399,269,553,47,29,0.27,0.334,0.445,0.779
P Ward,3B,973,3060,345,776,136,17,98,427,371,539,20,17,0.254,0.339,0.405,0.744
D Espinosa,2B,872,2910,367,644,139,12,98,316,242,943,64,24,0.221,0.297,0.378,0.675
B Hobson,3B,738,2556,314,634,107,23,98,396,183,569,11,9,0.248,0.297,0.423,0.72
B Buxton,CF,588,1968,318,483,114,21,98,255,139,625,77,10,0.245,0.302,0.474,0.776
T d'Arnaud,C,714,2471,305,626,129,6,97,354,194,528,2,1,0.253,0.313,0.428,0.741
B Roberts,2B,1417,5531,850,1527,367,39,97,542,609,844,285,73,0.276,0.347,0.409,0.756
F Gutierrez,CF,954,3032,394,778,150,9,97,361,228,736,78,19,0.257,0.311,0.408,0.719
S Crawford,RF,2385,9570,1391,2961,458,309,97,1525,760,104,366,30,0.309,0.362,0.452,0.814
K Hern?ndez,SS,920,2669,387,640,153,15,99,335,280,600,13,5,0.24,0.315,0.42,0.735
T d'Arnaud,C,714,2471,305,626,129,6,97,354,194,528,2,1,0.253,0.313,0.428,0.741
B Roberts,2B,1417,5531,850,1527,367,39,97,542,609,844,285,73,0.276,0.347,0.409,0.756
S Crawford,RF,2385,9570,1391,2961,458,309,97,1525,760,104,366,30,0.309,0.362,0.452,0.814
K Pillar,LF,1033,3607,460,934,217,15,97,391,154,640,92,32,0.259,0.296,0.408,0.704
J Castro,C,952,2981,368,678,166,9,97,325,347,970,6,2,0.227,0.312,0.387,0.699
C Anson,1B,2276,9101,1719,3011,528,124,97,1879,952,294,247,--,0.331,0.396,0.446,0.842
J Vander Wal,RF,1372,2751,374,717,170,18,97,430,385,698,38,20,0.261,0.351,0.441,0.792
F Gutierrez,CF,954,3032,394,778,150,9,97,361,228,736,78,19,0.257,0.311,0.408,0.719
W Westrum,C,920,2322,302,503,59,8,96,315,489,514,10,5,0.217,0.356,0.373,0.729
B Carbo,RF,1010,2733,372,722,140,9,96,358,538,611,26,18,0.264,0.387,0.427,0.814
H Baker,3B,1575,5984,887,1838,315,103,96,987,473,182,235,28,0.307,0.363,0.442,0.805
G Polanco,RF,823,2883,399,696,156,19,96,362,287,694,98,27,0.241,0.309,0.409,0.718
D Valencia,3B,865,2963,360,795,154,12,96,397,217,651,11,16,0.268,0.317,0.426,0.743
J LaRue,C,922,2719,307,628,148,7,96,348,237,760,14,11,0.231,0.315,0.396,0.711
E Andrus,2B,1952,7417,1019,1999,360,50,96,731,586,1138,336,111,0.27,0.325,0.37,0.695
R Dempsey,C,1766,4692,525,1093,223,12,96,471,592,736,20,19,0.233,0.319,0.347,0.666
A Vaughan,SS,1817,6622,1175,2103,356,128,96,926,937,276,118,--,0.318,0.406,0.453,0.859
